dataset,rows,passes,pass_rate,median_ratio
dow30,12,0,0.0,1.0243896657171994
etf_basket,12,1,0.08333333333333333,1.0279108662404424
hang_seng_largecap,12,1,0.08333333333333333,1.0312608448105727
nasdaq_large_tech,12,0,0.0,1.0316206776310826
sp100_largecap,12,0,0.0,1.023846270856924
