protocol,dataset,ticker,price_mode,horizon,feature_set,model_type,model,seed,test_units,test_RMSE,test_MAE,test_MAPE,latest_RMSE,latest_MAE,latest_MAPE,RMSE_ratio_vs_latest,MAE_ratio_vs_latest,MAPE_ratio_vs_latest,passes_latest_rmse_gate,dataset_label
sampled-origin zero-shot foundation audit,hang_seng_largecap,0005.HK,adjusted_close,5,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,3.5118505061008816,2.4314765135447187,2.757749145773131,3.563438626867236,2.394235014915468,2.6668907410875606,0.9855229383277728,1.0155546545753635,1.034069039007019,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,sp100_largecap,COP,raw_close,10,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,5.636852001520841,4.598524808883668,4.408844598378614,5.718440702786366,4.669479370117188,4.457144546142574,0.985732351613654,0.9848046097627928,0.9891634773645022,1,S&P 100 subset
full rolling-origin supervised audit,hang_seng_largecap,9618.HK,raw_close,5,ohlcv,itransformer,iTransformer-style,42.0,288,6.757775030225415,4.822960482703315,3.7837003260257447,6.855422624116192,4.856249650319417,3.792393267075142,0.9857561525751496,0.993145087255983,0.9977077954639176,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,hang_seng_largecap,0941.HK,raw_close,10,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,2.174870390185625,1.7465598583221436,2.2499995476991974,2.206187717255827,1.7921868960062664,2.284513372966324,0.9858047767987956,0.9745411386581396,0.9848922638512236,1,Hang Seng large-cap
full rolling-origin supervised audit,hang_seng_largecap,2020.HK,adjusted_close,10,technical,timemixer,TimeMixer-style,123.0,549,6.0905201008302905,4.485594883208283,5.3903814520405255,6.177862380161455,4.463340821026041,5.384599296004791,0.9858620548732776,1.0049859652387303,1.0010738321865518,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,dow30,PG,adjusted_close,1,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,1.6155425697412642,1.1715482076009114,0.7599930093404929,1.6383797859317664,1.1486790974934895,0.7436770466280525,0.986061097441144,1.019909050453973,1.021939580879119,1,Dow 30
sampled-origin zero-shot foundation audit,hang_seng_largecap,1810.HK,adjusted_close,1,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,1.2272668088769272,0.9194889664649964,2.154879195335208,1.244534358453817,0.936562637488048,2.1806831116039063,0.9861252929984652,0.9817698567723726,0.9881670490630252,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,sp100_largecap,BK,raw_close,5,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,2.513771382203175,1.908432245254516,2.150562156135188,2.548209981512566,1.995832999547322,2.2282371338676983,0.9864851799658408,0.956208383009686,0.965140614276684,1,S&P 100 subset
sampled-origin zero-shot foundation audit,etf_basket,FXI,adjusted_close,1,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,0.5452540808840121,0.3921550909678142,1.253948708884734,0.5526444766517681,0.3971666495005293,1.2650152609450505,0.9866272149999016,0.9873817236693526,0.9912518430393882,1,ETF basket
sampled-origin zero-shot foundation audit,etf_basket,GLD,raw_close,5,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,9.730484248563434,6.634681383768719,2.090004884478135,9.861978710733023,6.853539943695069,2.138212554437749,0.9866665234202462,0.9680663479421768,0.977454219946674,1,ETF basket
full rolling-origin supervised audit,hang_seng_largecap,9618.HK,adjusted_close,5,technical,itransformer,iTransformer-style,123.0,281,6.701760394062165,4.883961443375014,3.906345109221839,6.791431238434023,4.819372495015462,3.780983067948087,0.9867964731992878,1.0134019415237885,1.033155938289294,1,Hang Seng large-cap
sampled-origin zero-shot foundation audit,sp100_largecap,IBM,adjusted_close,10,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,13.519412384484042,10.665799617767334,4.680931259399839,13.700227078992866,10.644398530324295,4.63454985394663,0.9868020658733404,1.0020105492463542,1.0100077476594005,1,S&P 100 subset
sampled-origin zero-shot foundation audit,dow30,AMGN,adjusted_close,1,univariate close,chronos-t5-small,Chronos-T5-small zero-shot,,96,5.0573818099196,3.4385644594828264,1.1641187454881825,5.124782490943008,3.4305208524068185,1.1612736244036623,0.9868480894276928,1.0023447188989871,1.0024500006068606,1,Dow 30
