model,rows,passes,pass_rate,mean_rmse_ratio,median_rmse_ratio,median_ci_low,median_ci_high,q1_rmse_ratio,q3_rmse_ratio,min_rmse_ratio,p_wilcoxon_ratio_gt_1
Chronos-T5-small zero-shot,990,133,0.13434343434343435,1.0366568583086204,1.0347093562559362,1.0326062376984309,1.0374719959559966,1.0147346939973563,1.0568013790316098,0.9163085178502294,5.51305760673665e-126
DLinear,5940,0,0.0,5.049141727941804,3.1498124839551798,3.0165258678084457,3.25768071325405,1.9111112383010154,5.964453652455831,1.0360403661084183,0.0
GRU,5940,5,0.0008417508417508417,4.071948053719407,2.2213895687398413,2.1440595856938756,2.3151364447688128,1.3152202026376452,5.368962380475385,0.9825850785947338,0.0
LSTM,5940,8,0.0013468013468013469,4.598193019232251,2.6406214861736474,2.5107001491909253,2.75411832787697,1.4826095300889572,6.265259714400831,0.983914408501051,0.0
PatchTST-style,5940,3,0.000505050505050505,5.561493064346238,3.7663818880787887,3.6449037441569647,3.8986347316211862,1.9014710694224362,7.143941004128911,0.9390419189708852,0.0
TimeMixer-style,5940,3,0.000505050505050505,3.2145184384426653,2.327998043797418,2.28779125042114,2.369616914880648,1.5830663994972385,3.8059264528197625,0.9858620548732776,0.0
iTransformer-style,5940,4,0.0006734006734006734,5.776255024940057,3.722963024303829,3.611596220219589,3.945536879295112,1.8212517381915634,7.624393401684987,0.9857561525751496,0.0
