completed_at,dataset,ticker,price_mode,horizon,model_type,model_id,max_origins,context_length,num_samples,device,test_origins,test_RMSE,test_MAE,test_MAPE,latest_RMSE,latest_MAE,latest_MAPE,RMSE_ratio_vs_latest,MAE_ratio_vs_latest,MAPE_ratio_vs_latest,passes_latest_rmse_gate
2026-05-18T22:46:40,dow30,MMM,raw_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,2.634474412810257,1.7563271773488898,1.2975604381971493,2.5747701968899626,1.6916883368241158,1.2492513901831075,1.0231881726735887,1.038209662570662,1.038670397642672,0
2026-05-18T22:46:42,dow30,MMM,raw_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,5.568469121787997,4.0357232253036095,2.9821342497234986,5.470402444921533,3.8857299456068417,2.8688441928330572,1.0179267755624641,1.0386010561198027,1.0394897907573588,0
2026-05-18T22:46:46,dow30,MMM,raw_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,7.5323589250604,5.72426516573194,4.271658001923096,7.390744617312286,5.515190017055457,4.118644920999404,1.0191610338444643,1.0379089656076994,1.0371513164787614,0
2026-05-18T22:46:47,dow30,MMM,adjusted_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,2.581773835529244,1.74582878246642,1.3117658299163621,2.521288284552104,1.6580041048819558,1.2480944241071874,1.023989938535682,1.05297012071675,1.0510148948503808,0
2026-05-18T22:46:49,dow30,MMM,adjusted_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,5.435789214437587,3.911763075575468,2.930373891106352,5.3533463814145055,3.793475668962475,2.850034806707801,1.0154002426051305,1.0311818018448884,1.028188808154015,0
2026-05-18T22:46:54,dow30,MMM,adjusted_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,7.254611717013056,5.433949873480998,4.129103039773922,7.250162920758098,5.4025059283619195,4.101795590241688,1.000613613280637,1.0058202518490549,1.0066574379272335,0
2026-05-18T22:46:55,dow30,AXP,raw_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,5.318743134628948,3.700679631818805,1.2836024326303022,5.190084100679813,3.5410522728635554,1.2292975465216818,1.0247893928987168,1.0450790744261347,1.0441755425789931,0
2026-05-18T22:46:57,dow30,AXP,raw_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,11.31925825676061,8.6742888653425,3.013405458754085,10.992292211039889,8.40692409522085,2.9307678297809256,1.0297450285566772,1.031802924243558,1.0281965797950419,0
2026-05-18T22:47:01,dow30,AXP,raw_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,15.745679016732602,12.498651719429123,4.342101875550748,15.128617230889601,12.047588455844933,4.1943005996679075,1.040787718826218,1.0374401288056412,1.0352385987533996,0
2026-05-18T22:47:02,dow30,AXP,adjusted_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,5.286324701180502,3.7231820357473273,1.305320910966565,5.134860627339539,3.501839406866776,1.2291885318462354,1.0294972122582104,1.0632075327173824,1.0619371049662978,0
2026-05-18T22:47:05,dow30,AXP,adjusted_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,11.365978437577455,8.826390056911798,3.1139424116212107,10.872999283010534,8.31925835634577,2.9325333003550615,1.0453397578474248,1.0609587632507167,1.0618608870508597,0
2026-05-18T22:47:09,dow30,AXP,adjusted_close,10,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,568,15.721896177985208,12.493827766096087,4.404549278722055,14.993018864307544,11.936359244333186,4.201202233502096,1.0486144465150267,1.0467033967687895,1.048402108234254,0
2026-05-18T22:47:17,nasdaq_large_tech,AAPL,raw_close,1,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,570,3.816903547248191,2.66043735972622,1.1953513471623463,3.750140138378198,2.568210133335044,1.153059802626477,1.0178029103997341,1.0359110904493671,1.0366776679228054,0
2026-05-18T22:47:20,nasdaq_large_tech,AAPL,raw_close,5,chronos-t5-small-full-origin-subset,amazon/chronos-t5-small,10000,512,20,cuda,569,8.995965528806343,6.903283680679509,3.091852116108506,8.785372705297599,6.650966356005946,2.9760699812220524,1.0239708468351896,1.0379369419671949,1.0389043724163067,0
